position	smiles	name
neg_H10	CC(C)CC(=O)NCC(=O)O	zzz
neg_A11	O=C1OC(C(O)CO)C(O)C1O	zzz
neg_B11	CN1CC(=O)NC1=O	zzz
neg_C11	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O	zzz
neg_D11	CC(=O)NCCCCCN	zzz
neg_E11	O=[N+]([O-])c1ccc(O)cc1	zzz
neg_F11	CNC	zzz
neg_G11	CCCCC(C)=O	zzz
neg_H11	Cc1c(O)cccc1	zzz
neg_A2	CSCCC(NC(C)=O)C(=O)O	zzz
neg_B2	CCCCO	zzz
neg_C2	NCCO	zzz
neg_D2	O=C(O)c1ccccc1C(=O)O	zzz
neg_E2	Cc1c(C(=O)O)cccc1	zzz
neg_F2	COC(=O)CCN	zzz
neg_G2	CC(=O)CC(C)C	zzz
neg_H2	CN	zzz
neg_A3	CCCCCCCCCCCCCCC(=O)O	zzz
neg_B3	O=C1CCCCC1	zzz
neg_C3	O=C(O)CCC(=O)C(=O)O	zzz
neg_D3	CC(C)CO	zzz
neg_E3	CC(=O)OCC1OC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O	zzz
neg_F3	Oc1c(Cl)cc(Cl)cc1	zzz
neg_G3	CCOC(=O)C(C)=O	zzz
neg_H3	CC(C)CC=O	zzz
neg_A4	CC(=O)NC(CCC(=O)O)C(=O)O	zzz
neg_B4	O=C(O)c1ncccc1	zzz
neg_C4	CC(O)C(=O)O	zzz
neg_D4	O=C(O)c1ccc(C(=O)O)cc1	zzz
neg_E4	O=C(O)c1ncccc1O	zzz
neg_F4	NC(Cc1c[nH]c2c1cccc2)C(=O)O	zzz
neg_G4	O=C(O)CCc1ccccc1	zzz
neg_H4	CC(C)CCO	zzz
neg_A5	Nc1nccc(=O)[nH]1	zzz
neg_B5	CC(=O)NC(C=O)C(O)C(O)C(O)CO	zzz
neg_C5	CC(O)CO	zzz
neg_D5	NC(=O)NC(CC(=O)O)C(=O)O	zzz
neg_E5	O=C(O)CCCCCCCCCCC(=O)O	zzz
neg_F5	COc1ccc(CC(=O)O)cc1	zzz
neg_G5	CC(C)CCC(=O)O	zzz
neg_H5	O=C(O)C1CCCCC1	zzz
neg_A6	N#CS[Na]	zzz
neg_B6	CC(C)(CC(=O)O)CC(=O)O	zzz
neg_C6	CCCCCCCC(=O)O	zzz
neg_D6	Cc1cc(C(=O)O)ccc1O	zzz
neg_E6	CNC(=N)N	zzz
neg_F6	CSSSC	zzz
neg_G6	CC(=O)NC(Cc1ccc(O)cc1)C(=O)O	zzz
neg_H6	O=C(O)c1ccc(C(=O)O)o1	zzz
neg_A7	CC(C(=O)O)c1ccccc1	zzz
neg_B7	COc1cc2c(cc1)[nH]cc2CCN	zzz
neg_C7	O=C(O)C(O)Cc1ccccc1	zzz
neg_D7	CCC(=O)C(=O)O	zzz
neg_E7	O=C(O)CCCCCCCCCC(=O)O	zzz
neg_F7	CSCCC(=O)O	zzz
neg_G7	O=CC(O)C(O)C(O)C(O)C(=O)O	zzz
neg_H7	O=C(O)CCCCCCCCCCCCC(=O)O	zzz
neg_A8	Cc1cc(O)cc2c1OC(C)(CCCC(C)CCCC(C)CCCC(C)C)CC2	zzz
neg_B8	NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c4ncnc5N)C(O)C3O)C(O)C2O)C=CC1	zzz
neg_C8	CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O	zzz
neg_D8	CC(=O)NC(CCCNC(=N)N)C(=O)O	zzz
neg_E8	CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C	zzz
neg_F8	CC(CC(=O)O)C(=O)O	zzz
neg_G8	NCCCCCN	zzz
neg_H8	NC(C=O)C(O)C(O)C(O)CO	zzz
neg_A9	CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O	zzz
neg_B9	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O	zzz
neg_C9	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O	zzz
neg_D9	COc1ccc(CC(=O)O)cc1O	zzz
neg_E9	CC(CCC(=O)O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	zzz
neg_F9	CNC(CC(=O)O)C(=O)O	zzz
neg_G9	O=C(O)C(O)c1ccccc1	zzz
neg_H9	Nc1nc2c(ncn2C2CC(O)C(CO)O2)c(=O)[nH]1	zzz
neg_A10	Nc1ncnc2c1ncn2C1CC(O)C(CO)O1	zzz
neg_B10	O=C(O)Cc1c(O)ccc(O)c1	zzz
neg_C10	O=CCc1ccccc1	zzz
neg_D10	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O	zzz
neg_E10	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O	zzz
neg_F10	O=c1[nH]c(=O)c2c([nH]1)n(C1OC(CO)C(O)C1O)cn2	zzz
neg_G10	Cc1c[nH]c(=O)[nH]c1=O	zzz
neg_H10	O=C(O)/C=C/c1c[nH]cn1	zzz
neg_A11	O=c1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1	zzz
neg_B11	NCC(O)c1cc(O)c(O)cc1	zzz
neg_C11	COc1c(O)cc2CCC3C(CCC4(C)C(O)CCC34)c2c1	zzz
neg_D11	CCCCCC(O)/C=C/C1C(O)CC(=O)C1CCCCCCC(=O)O	zzz
neg_E11	C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C	zzz
neg_F11	CC(=O)OCC[N+](C)(C)C	zzz
neg_G11	O=C(O)/C=C/c1ccc(O)c(O)c1	zzz
neg_H11	CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1	zzz
neg_A2	COc1cc(/C=C/C(=O)O)ccc1O	zzz
